x y z r g b
62.5 312.5 19.619998455047607 71 106 107
62.5 375.0 16.349998712539673 51 107 158
62.5 375.0 19.619998455047607 83 86 136
62.5 375.0 22.889998197555542 96 99 93
62.5 437.5 16.349998712539673 37 126 145
62.5 437.5 19.619998455047607 70 109 120
62.5 437.5 22.889998197555542 95 86 91
62.5 500.0 19.619998455047607 88 93 88
125.0 250.0 16.349998712539673 62 127 162
125.0 250.0 19.619998455047607 79 137 134
125.0 312.5 16.349998712539673 72 131 192
125.0 312.5 19.619998455047607 74 129 179
125.0 312.5 22.889998197555542 98 149 140
125.0 375.0 13.079998970031738 74 117 167
125.0 375.0 16.349998712539673 75 148 218
125.0 375.0 19.619998455047607 89 126 193
125.0 375.0 22.889998197555542 94 111 138
125.0 375.0 26.159997940063477 91 131 132
125.0 437.5 13.079998970031738 82 99 172
125.0 437.5 16.349998712539673 60 173 193
125.0 437.5 19.619998455047607 84 141 164
125.0 437.5 22.889998197555542 93 112 113
125.0 437.5 26.159997940063477 79 124 130
125.0 500.0 16.349998712539673 35 145 163
125.0 500.0 19.619998455047607 76 137 109
125.0 500.0 22.889998197555542 90 125 77
125.0 562.5 19.619998455047607 69 101 93
187.5 125.0 19.619998455047607 97 80 97
187.5 187.5 16.349998712539673 89 99 191
187.5 187.5 19.619998455047607 80 84 139
187.5 250.0 13.079998970031738 106 138 219
187.5 250.0 16.349998712539673 115 136 226
187.5 250.0 19.619998455047607 96 138 200
187.5 250.0 22.889998197555542 127 140 186
187.5 312.5 13.079998970031738 102 164 200
187.5 312.5 16.349998712539673 133 155 235
187.5 312.5 19.619998455047607 111 157 219
187.5 312.5 22.889998197555542 126 168 193
187.5 312.5 26.159997940063477 114 152 199
187.5 375.0 9.809999227523804 92 120 182
187.5 375.0 13.079998970031738 99 149 195
187.5 375.0 16.349998712539673 134 178 218
187.5 375.0 19.619998455047607 128 151 209
187.5 375.0 22.889998197555542 122 143 185
187.5 375.0 26.159997940063477 116 148 196
187.5 437.5 9.809999227523804 117 125 187
187.5 437.5 13.079998970031738 102 136 187
187.5 437.5 16.349998712539673 103 199 177
187.5 437.5 19.619998455047607 116 183 165
187.5 437.5 22.889998197555542 117 157 167
187.5 437.5 26.159997940063477 116 164 204
187.5 500.0 13.079998970031738 91 130 172
187.5 500.0 16.349998712539673 72 174 169
187.5 500.0 19.619998455047607 87 177 128
187.5 500.0 22.889998197555542 101 174 141
187.5 500.0 26.159997940063477 106 163 191
187.5 562.5 16.349998712539673 64 134 170
187.5 562.5 19.619998455047607 71 120 140
187.5 562.5 22.889998197555542 81 152 134
187.5 625.0 19.619998455047607 62 102 150
250.0 62.5 19.619998455047607 98 67 62
250.0 125.0 16.349998712539673 109 95 188
250.0 125.0 19.619998455047607 102 75 153
250.0 125.0 22.889998197555542 145 80 86
250.0 187.5 13.079998970031738 111 80 202
250.0 187.5 16.349998712539673 143 113 219
250.0 187.5 19.619998455047607 117 95 197
250.0 187.5 22.889998197555542 145 75 144
250.0 250.0 13.079998970031738 155 139 219
250.0 250.0 16.349998712539673 184 142 214
250.0 250.0 19.619998455047607 159 143 222
250.0 250.0 22.889998197555542 167 112 198
250.0 250.0 26.159997940063477 153 117 195
250.0 312.5 9.809999227523804 122 154 183
250.0 312.5 13.079998970031738 142 187 192
250.0 312.5 16.349998712539673 182 176 193
250.0 312.5 19.619998455047607 164 184 198
250.0 312.5 22.889998197555542 168 172 180
250.0 312.5 26.159997940063477 152 153 181
250.0 375.0 6.539999485015869 88 111 163
250.0 375.0 9.809999227523804 121 142 167
250.0 375.0 13.079998970031738 121 185 184
250.0 375.0 16.349998712539673 169 204 171
250.0 375.0 19.619998455047607 165 179 175
250.0 375.0 22.889998197555542 156 181 159
250.0 375.0 26.159997940063477 156 163 162
250.0 437.5 6.539999485015869 95 119 161
250.0 437.5 9.809999227523804 139 151 181
250.0 437.5 13.079998970031738 120 176 176
250.0 437.5 16.349998712539673 127 220 140
250.0 437.5 19.619998455047607 148 206 145
250.0 437.5 22.889998197555542 152 184 142
250.0 437.5 26.159997940063477 161 178 157
250.0 500.0 6.539999485015869 92 124 155
250.0 500.0 9.809999227523804 127 170 154
250.0 500.0 13.079998970031738 112 168 156
250.0 500.0 16.349998712539673 105 177 138
250.0 500.0 19.619998455047607 117 195 120
250.0 500.0 22.889998197555542 130 198 108
250.0 500.0 26.159997940063477 151 184 150
250.0 562.5 13.079998970031738 92 145 155
250.0 562.5 16.349998712539673 105 160 166
250.0 562.5 19.619998455047607 101 154 144
250.0 562.5 22.889998197555542 99 176 114
250.0 562.5 26.159997940063477 135 194 149
250.0 625.0 16.349998712539673 73 155 145
250.0 625.0 19.619998455047607 89 137 157
250.0 625.0 22.889998197555542 83 161 139
250.0 687.5 19.619998455047607 73 148 153
312.5 62.5 16.349998712539673 129 87 162
312.5 62.5 19.619998455047607 106 66 103
312.5 62.5 22.889998197555542 174 89 42
312.5 125.0 13.079998970031738 113 84 203
312.5 125.0 16.349998712539673 171 94 202
312.5 125.0 19.619998455047607 145 78 172
312.5 125.0 22.889998197555542 151 71 96
312.5 125.0 26.159997940063477 169 95 147
312.5 187.5 13.079998970031738 144 102 213
312.5 187.5 16.349998712539673 195 112 194
312.5 187.5 19.619998455047607 177 98 203
312.5 187.5 22.889998197555542 164 75 147
312.5 187.5 26.159997940063477 171 105 178
312.5 250.0 9.809999227523804 147 97 181
312.5 250.0 13.079998970031738 174 147 206
312.5 250.0 16.349998712539673 209 139 184
312.5 250.0 19.619998455047607 209 138 203
312.5 250.0 22.889998197555542 197 104 182
312.5 250.0 26.159997940063477 187 116 175
312.5 312.5 6.539999485015869 120 120 157
312.5 312.5 9.809999227523804 147 158 157
312.5 312.5 13.079998970031738 163 191 195
312.5 312.5 16.349998712539673 195 184 171
312.5 312.5 19.619998455047607 194 191 176
312.5 312.5 22.889998197555542 183 167 144
312.5 312.5 26.159997940063477 174 144 146
312.5 375.0 3.2699997425079346 95 138 171
312.5 375.0 6.539999485015869 110 127 160
312.5 375.0 9.809999227523804 136 131 139
312.5 375.0 13.079998970031738 134 196 184
312.5 375.0 16.349998712539673 173 217 158
312.5 375.0 19.619998455047607 183 189 144
312.5 375.0 22.889998197555542 170 181 98
312.5 375.0 26.159997940063477 171 154 116
312.5 437.5 3.2699997425079346 93 151 164
312.5 437.5 6.539999485015869 108 132 166
312.5 437.5 9.809999227523804 156 133 159
312.5 437.5 13.079998970031738 120 209 159
312.5 437.5 16.349998712539673 138 240 115
312.5 437.5 19.619998455047607 169 210 82
312.5 437.5 22.889998197555542 164 175 59
312.5 437.5 26.159997940063477 168 167 98
